"id","year","state_name","state_code","crop_name","crop_code","crop_type","cul_cost_a1","cul_cost_a2","cul_cost_b1","cul_cost_b2","cul_cost_c1","cul_cost_c2","cul_cost_c2rev","cul_cost_a2fl","prod_cost_a1","prod_cost_a2","prod_cost_b1","prod_cost_b2","prod_cost_c1","prod_cost_c2","prod_cost_c2rev","prod_cost_c3","prod_cost_a2fl","main_product_value","by_product_value","mat_lab_input_seed","mat_lab_input_fertilizer","mat_lab_input_manure","mat_lab_input_hmn_lab","mat_lab_input_ani_lab","seed_rate_per_unit","fert_rate_per_unit","manure_rate_per_unit","hmn_lab_rate_per_unit","ani_lab_rate_per_unit","implicit_rate","num_holdings_sample","num_tehsils_sample","derived_yield","hmn_lab_hrs_family","hmn_lab_hrs_attached","hmn_lab_hrs_casual","opr_cost_hmn_lab_family","opr_cost_hmn_lab_attached","opr_cost_hmn_lab_casual","opr_cost_ani_lab_hired","opr_cost_ani_lab_owned","opr_cost_mch_lab_hired","opr_cost_mch_lab_owned","opr_cost_seed","opr_cost_fertilizer","opr_cost_manure","opr_cost_insecticides","opr_cost_irrigation_chrg","opr_cost_misc","opr_cost_interest_on_wrk_cap","opr_cost","fix_cost_owned_land_rental","fix_cost_leased_land_rent","fix_cost_land_rev_tax_cess","fix_cost_depr_impl_farm_build","fix_cost_interest_fix_cap","fix_cost","opr_cost_crop_insurance","opr_cost_contractor_pay"
0,"2018-19","Andhra Pradesh","28","Tur (Arhar)","0202","Pulses",25062.6,25062.6,26029.29,36410.62,29874.23,40255.56,40467.12,"",3394.86,3394.86,3503.11,4998.98,3860.09,5355.96,5384.11,5922.52,"",33426.65,1177.79,10.21,66.29,11.63,263.7,9.45,118.92,28.82,117.33,48.74,203.84,5079.6,8.0,4.0,7.22,81.89,0.0,181.81,3844.94,0.0,9007.08,1889.4,36.84,2200.03,4592.92,1214.14,1910.54,1363.99,1852.44,1.34,132.46,756.27,28802.4,10381.33,0.0,0.0,105.13,966.7,11453.16,0.0,""
1,"2018-19","Bihar","10","Tur (Arhar)","0202","Pulses",14717.68,14717.68,15477.71,31064.38,21925.03,37511.7,37593.97,"",1321.95,1321.95,1390.21,2790.21,1969.31,3369.31,3376.7,3714.37,"",42133.33,2400.0,26.67,55.47,0.0,232.91,0.0,80.0,39.06,0.0,46.29,0.0,4001.27,2.0,1.0,10.53,140.0,0.0,92.91,6447.32,0.0,4333.33,0.0,0.0,5000.0,0.0,2133.33,2166.68,0.0,0.0,0.0,0.0,426.04,20506.7,15586.67,0.0,240.0,418.3,760.03,17005.0,0.0,""
2,"2018-19","Chhattisgarh","22","Tur (Arhar)","0202","Pulses",14183.54,14183.54,14528.7,21017.09,19288.78,25777.16,26196.39,"",2498.48,2498.48,2560.47,3685.68,3410.55,4535.75,4609.52,5070.47,"",23032.27,2921.27,20.32,30.12,0.0,307.41,8.99,86.87,37.5,0.0,27.89,99.97,4503.88,3.0,2.0,5.02,170.09,0.0,137.32,4760.07,0.0,3812.44,898.71,0.0,5799.65,0.0,1764.97,1129.43,0.0,0.0,0.0,20.79,419.55,18605.61,6488.38,0.0,1.64,336.36,345.17,7171.55,0.0,""
3,"2018-19","Gujarat","24","Tur (Arhar)","0202","Pulses",27435.91,28655.86,29853.94,38062.27,40984.93,49193.26,51900.29,"",3407.99,3558.47,3687.22,4694.23,5055.93,6062.94,6397.2,7036.92,"",41355.52,2768.99,9.14,42.6,82.94,719.98,35.79,112.81,23.06,15.58,26.58,151.87,5023.63,38.0,10.0,7.59,377.75,3.19,339.04,11131.0,97.5,7908.66,329.29,5105.53,4979.45,1254.21,1031.58,982.42,1291.79,1406.23,1577.96,332.97,821.79,38250.38,6988.38,1219.96,17.95,298.56,2418.03,10942.88,0.0,""
4,"2018-19","Karnataka","29","Tur (Arhar)","0202","Pulses",25298.57,25298.57,26711.34,36388.74,31141.2,40818.6,43856.18,"",3346.24,3346.24,3540.41,4786.38,4109.2,5355.16,5753.67,6329.04,"",37937.97,1278.44,14.0,78.48,3.72,283.84,41.33,61.24,34.38,134.48,31.77,162.23,5041.29,92.0,17.0,7.38,98.5,0.0,210.8,4429.86,45.76,4541.48,2458.03,4246.57,5783.81,417.48,857.31,2697.88,499.83,2475.79,111.98,151.06,758.96,29475.8,9677.4,0.0,10.82,241.81,1412.77,11342.8,0.0,""
5,"2018-19","Madhya Pradesh","23","Tur (Arhar)","0202","Pulses",21044.57,21044.57,23178.79,33558.71,29286.13,39666.05,39666.05,"",2130.26,2130.26,2358.28,3425.49,2895.51,3962.72,3962.72,4358.99,"",39189.8,3606.73,26.16,45.93,2.43,367.0,15.39,87.86,39.33,191.26,34.03,99.1,3983.09,36.0,13.0,9.15,174.13,1.58,191.29,6107.34,49.38,6331.6,273.3,1251.46,4693.28,579.18,2298.82,1806.59,464.65,1314.53,324.93,51.48,612.19,26309.89,10379.92,0.0,6.68,835.34,2134.22,13356.16,151.16,""
6,"2018-19","Maharashtra","27","Tur (Arhar)","0202","Pulses",44302.06,44302.06,48886.34,61771.77,57390.23,70275.67,76431.66,"",2732.3,2732.3,3035.98,3827.79,3550.85,4342.65,4724.56,5197.01,"",75008.17,2288.92,23.92,93.83,2.57,774.75,49.0,80.97,36.5,218.48,27.52,100.84,4822.91,167.0,28.0,15.7,300.52,3.54,470.69,8503.9,104.22,12716.27,2581.37,2359.6,11224.68,432.92,1936.36,3424.9,560.87,5505.07,802.26,247.38,1309.59,51720.63,12885.43,0.0,64.37,1020.96,4584.28,18555.04,11.24,""
7,"2018-19","Odisha","21","Tur (Arhar)","0202","Pulses",7106.02,7106.02,8543.82,15024.49,16075.99,22556.67,22556.67,"",1423.16,1423.16,1737.21,3019.57,3269.49,4551.85,4551.85,5007.04,"",25225.12,697.56,16.57,4.87,0.05,335.35,64.64,54.67,32.49,100.07,29.32,30.74,4871.73,43.0,12.0,4.83,254.32,0.06,80.97,7532.18,1.39,2297.55,381.75,1605.5,693.18,1.87,905.99,158.28,4.9,49.12,0.0,15.03,191.07,13837.81,6480.67,0.0,18.68,781.71,1437.8,8718.86,0.0,""
8,"2018-19","Tamil Nadu","33","Tur (Arhar)","0202","Pulses",31304.2,31304.2,34049.9,47497.57,61627.66,75075.32,75075.32,"",3800.73,3800.73,4130.28,5751.16,7070.59,8691.47,8691.47,9560.62,"",49036.56,698.81,19.08,28.31,20.49,749.23,0.0,122.58,39.48,161.61,58.94,0.0,5607.24,3.0,3.0,8.51,433.23,0.0,313.0,27577.75,0.0,16404.04,0.0,0.0,4812.54,424.96,2338.11,1117.74,3311.48,394.35,1164.6,50.99,938.08,58534.64,13447.67,0.0,10.96,336.35,2745.7,16540.68,0.0,""
9,"2018-19","Telangana","36","Tur (Arhar)","0202","Pulses",16498.73,17851.82,18700.23,24291.25,24504.01,30095.03,30456.28,"",6111.37,6603.49,6927.08,9028.41,9182.59,11283.93,11419.37,12561.31,"",12679.9,1446.53,9.5,60.35,0.0,202.81,8.86,128.92,35.47,0.0,47.72,119.23,5219.8,31.0,10.0,2.45,124.62,0.42,77.78,5803.78,24.64,3849.66,467.41,588.95,3404.34,1724.65,1224.46,2140.61,0.0,2251.21,4.09,124.85,493.88,22102.53,4237.93,1353.09,0.0,199.98,2201.5,7992.49,0.0,""
